"Ár";"Vörutegund";"Alls Einingar";"Alls Tonn";"Alls CIF í milljónum króna"
"2009";"48  Kraftpappír, ­pappi";0;4666;365
"2009";"49  Bækur, blöð, tímarit";0;1006;1595
"2009";"33  Ilmvötn og snyrtivörur";0;1809;3260
"2009";"51  Ull";0;88;43
"2009";"57  Gólfteppi";0;298;231
"2009";"56  Fiskinet";0;406;469
"2009";"70  Rúðugler";0;2704;338
"2009";"72  Steypustyrktarjárn";0;10226;790
"2009";"72  Þakjárn";0;78;25
"2009";"73  Miðstöðvarofnar";0;366;201
"2009";"84  Kæli­ og frystitæki til heimilis";11862;518;463
"2009";"84  Þvottavélar";10170;598;491
"2009";"85  Sjónvarpstæki";14486;275;1061
"2009";"85  Hljóðvarpstæki";26939;40;122
"2009";"87  Hjóladráttarvélar";24;112;176
"2009";"87  Almenningsbílar";14;115;136
"2009";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";2549;4220;8472
"2009";"87  Vöru- og sendibílar";432;920;1466
"2009";"87  Aðrir bílar";54;14;55
"2009";"87  Fjórhjól";0;59;129
"2009";"84, 87  Bílavarahlutir";0;1160;3272
"2009";"88  Flugvélar";14;14871;12916
"2009";"89  Farskip, ferjur";0;0;0
"2009";"89  Fiskiskip";4;2501;3685
"2009";"89  Önnur skip";3;322;144
"2010";"07  Kartöflur";0;2789;207
"2010";"07  Grænmeti";0;10266;2412
"2010";"08  Ávextir";0;20717;4254
"2010";"20  Ávextir niðursoðnir";0;1352;412
"2010";"09  Kaffi";0;2290;1575
"2010";"10, 11  Kornvörur til manneldis";0;26550;1698
"2010";"10, 11, 23  Fóðurvörur";0;79914;3812
"2010";"17  Strásykur, molasykur";0;10201;791
"2010";"17, 18  Sælgæti";0;2202;1560
"2010";"19  Kex, kökur, brauðvörur";0;5208;2295
"2010";"24  Vindlingar";0;323;1698
"2010";"24  Annað tóbak";0;40;229
"2010";"25  Salt (almennt)";0;65076;807
"2010";"28  Súrál";0;1612188;62852
"2010";"27  Kol";0;104740;2643
"2010";"27  Koks";0;25006;1260
"2010";"27  Flugvélabensín";0;541;124
"2010";"27  Annað bensín";0;143989;13497
"2010";"27  Þotueldsneyti";0;120357;10752
"2010";"27  Gasolía";0;292214;24340
"2010";"27  Brennsluolía";0;93051;5993
"2010";"27  Smurolía, smurfeiti";0;4097;1376
"2010";"40  Hjólbarðar nýir";0;3148;2273
"2010";"40  Hjólbarðar notaðir";0;274;98
"2010";"44  Timbur";78327;33391;2866
"2010";"44  Krossviður";16397;2735;427
"2010";"44  Spóna­, byggingarplötur";0;13843;1189
"2010";"48  Dagblaðapappír";0;6845;544
"2010";"48  Prent­ og skrifpappír";0;2800;433
"2010";"48  Kraftpappír, ­pappi";0;5022;449
"2010";"49  Bækur, blöð, tímarit";0;1069;1542
"2010";"33  Ilmvötn og snyrtivörur";0;1724;3087
"2010";"51  Ull";0;136;71
"2010";"57  Gólfteppi";0;465;272
"2010";"56  Fiskinet";0;329;360
"2010";"70  Rúðugler";0;2366;284
"2010";"72  Steypustyrktarjárn";0;7822;587
"2010";"72  Þakjárn";0;94;27
"2010";"73  Miðstöðvarofnar";0;377;208
"2010";"84  Kæli­ og frystitæki til heimilis";13275;625;494
"2010";"84  Þvottavélar";11337;632;512
"2010";"85  Sjónvarpstæki";21323;357;1290
"2010";"85  Hljóðvarpstæki";24307;45;135
"2010";"87  Hjóladráttarvélar";19;91;128
"2010";"87  Almenningsbílar";59;536;777
"2010";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";3596;5086;8130
"2010";"87  Vöru- og sendibílar";297;750;1006
"2010";"87  Aðrir bílar";152;53;189
"2010";"87  Fjórhjól";0;48;124
"2010";"84, 87  Bílavarahlutir";0;1249;3239
"2010";"88  Flugvélar";6;1096;3916
"2010";"89  Farskip, ferjur";4;64;63
"2010";"89  Fiskiskip";4;1748;2760
"2010";"89  Önnur skip";4;6;10
"2011";"07  Kartöflur";0;2014;182
"2011";"07  Grænmeti";0;10493;2299
"2011";"08  Ávextir";0;21407;4787
"2011";"20  Ávextir niðursoðnir";0;1363;444
"2011";"09  Kaffi";0;2147;1948
"2011";"10, 11  Kornvörur til manneldis";0;22795;1864
"2011";"10, 11, 23  Fóðurvörur";0;84465;4904
"2011";"17  Strásykur, molasykur";0;10036;1057
"2011";"17, 18  Sælgæti";0;2260;1764
"2011";"19  Kex, kökur, brauðvörur";0;5232;2451
"2011";"24  Vindlingar";0;302;1631
"2011";"24  Annað tóbak";3907;43;220
"2011";"25  Salt (almennt)";0;93883;1110
"2011";"28  Súrál";0;1539080;66757
"2011";"27  Kol";0;110523;2844
"2011";"27  Koks";0;23086;1109
"2011";"27  Flugvélabensín";0;449;126
"2011";"27  Annað bensín";0;144550;16896
"2011";"27  Þotueldsneyti";0;141791;16667
"2011";"27  Gasolía";0;300237;32363
"2011";"27  Brennsluolía";0;88710;7263
"2011";"27  Smurolía, smurfeiti";0;4225;1582
"2011";"40  Hjólbarðar nýir";0;3690;3023
"2011";"40  Hjólbarðar notaðir";0;385;161
"2011";"44  Timbur";50676;31418;2693
"2011";"44  Krossviður";4826;2837;467
"2011";"44  Spóna­, byggingarplötur";0;8177;822
"2011";"48  Dagblaðapappír";0;9125;811
"2011";"48  Prent­ og skrifpappír";0;2380;405
"2011";"48  Kraftpappír, ­pappi";0;6137;632
"2011";"49  Bækur, blöð, tímarit";0;1130;1521
"2011";"33  Ilmvötn og snyrtivörur";0;1864;3264
"2011";"51  Ull";0;75;54
"2011";"57  Gólfteppi";0;392;300
"2011";"56  Fiskinet";0;367;406
"2011";"70  Rúðugler";0;2710;352
"2011";"72  Steypustyrktarjárn";0;9043;935
"2011";"72  Þakjárn";0;21;27
"2011";"73  Miðstöðvarofnar";0;385;194
"2011";"84  Kæli­ og frystitæki til heimilis";12720;603;507
"2011";"84  Þvottavélar";11940;682;549
"2011";"85  Sjónvarpstæki";24278;383;1489
"2011";"85  Hljóðvarpstæki";20646;33;114
"2011";"87  Hjóladráttarvélar";59;257;351
"2011";"87  Almenningsbílar";71;415;698
"2011";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";5597;8126;13818
"2011";"87  Vöru- og sendibílar";395;1021;1376
"2011";"87  Aðrir bílar";160;54;218
"2011";"87  Fjórhjól";3;35;87
"2011";"84, 87  Bílavarahlutir";0;1367;3562
"2011";"88  Flugvélar";11;522;8066
"2011";"89  Farskip, ferjur";6;107;53
"2011";"89  Fiskiskip";4;3935;5508
"2011";"89  Önnur skip";6;3943;4755
"2012";"07  Kartöflur";0;3306;275
"2012";"07  Grænmeti";0;11365;2605
"2012";"08  Ávextir";0;22858;5445
"2012";"20  Ávextir niðursoðnir";0;1285;452
"2012";"09  Kaffi";0;2263;2076
"2012";"10, 11  Kornvörur til manneldis";0;23415;1917
"2012";"10, 11, 23  Fóðurvörur";0;80511;5243
"2012";"17  Strásykur, molasykur";0;10271;945
"2012";"17, 18  Sælgæti";0;2454;1978
"2012";"19  Kex, kökur, brauðvörur";0;5709;2792
"2012";"24  Vindlingar";0;313;1722
"2012";"24  Annað tóbak";0;42;213
"2012";"25  Salt (almennt)";0;99783;1279
"2012";"28  Súrál";0;1590441;63604
"2012";"27  Kol";0;103993;3090
"2012";"27  Koks";0;43049;1645
"2012";"27  Flugvélabensín";0;469;138
"2012";"27  Annað bensín";0;137974;18347
"2012";"27  Þotueldsneyti";0;148554;18859
"2012";"27  Gasolía";0;278423;33719
"2012";"27  Brennsluolía";0;105921;10070
"2012";"27  Smurolía, smurfeiti";1;3725;1592
"2012";"40  Hjólbarðar nýir";0;3821;3225
"2012";"40  Hjólbarðar notaðir";0;269;117
"2012";"44  Timbur";48237;29473;2690
"2012";"44  Krossviður";11614;3001;513
"2012";"44  Spóna­, byggingarplötur";0;8863;988
"2012";"48  Dagblaðapappír";0;8891;875
"2012";"48  Prent­ og skrifpappír";0;2219;394
"2012";"48  Kraftpappír, ­pappi";0;4932;489
"2012";"49  Bækur, blöð, tímarit";0;1191;1591
"2012";"33  Ilmvötn og snyrtivörur";0;1809;3283
"2012";"51  Ull";0;100;89
"2012";"57  Gólfteppi";0;462;348
"2012";"56  Fiskinet";0;325;462
"2012";"70  Rúðugler";0;2476;335
"2012";"72  Steypustyrktarjárn";0;10760;1063
"2012";"72  Þakjárn";0;26;24
"2012";"73  Miðstöðvarofnar";0;416;159
"2012";"84  Kæli­ og frystitæki til heimilis";12357;611;525
"2012";"84  Þvottavélar";12198;690;580
"2012";"85  Sjónvarpstæki";22042;331;1489
"2012";"85  Hljóðvarpstæki";16234;23;106
"2012";"87  Hjóladráttarvélar";132;585;959
"2012";"87  Almenningsbílar";104;614;1363
"2012";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";8680;12342;21780
"2012";"87  Vöru- og sendibílar";455;1279;1776
"2012";"87  Aðrir bílar";202;92;367
"2012";"87  Fjórhjól";1;32;98
"2012";"84, 87  Bílavarahlutir";0;1632;3892
"2012";"88  Flugvélar";19;1334;18487
"2012";"89  Farskip, ferjur";3;379;98
"2012";"89  Fiskiskip";5;6740;9896
"2012";"89  Önnur skip";3;7;17
"2013";"07  Kartöflur";0;2325;263
"2013";"07  Grænmeti";0;12084;2801
"2013";"08  Ávextir";0;23427;5914
"2013";"20  Ávextir niðursoðnir";0;1302;518
"2013";"09  Kaffi";0;2354;1913
"2013";"10, 11  Kornvörur til manneldis";0;22823;1921
"2013";"10, 11, 23  Fóðurvörur";0;82087;5673
"2013";"17  Strásykur, molasykur";0;10482;887
"2013";"17, 18  Sælgæti";0;2367;1984
"2013";"19  Kex, kökur, brauðvörur";0;5627;2824
"2013";"24  Vindlingar";0;414;1552
"2013";"24  Annað tóbak";0;53;241
"2013";"25  Salt (almennt)";0;83980;1120
"2013";"28  Súrál";0;1646175;61337
"2013";"27  Kol";0;125111;3344
"2013";"27  Koks";0;27015;1219
"2013";"27  Flugvélabensín";0;497;127
"2013";"27  Annað bensín";0;132817;16723
"2013";"27  Þotueldsneyti";0;355052;43222
"2013";"27  Gasolía";0;273090;31529
"2013";"27  Brennsluolía";0;176033;15826
"2013";"27  Smurolía, smurfeiti";0;3960;1683
"2013";"40  Hjólbarðar nýir";0;3383;2879
"2013";"40  Hjólbarðar notaðir";0;305;154
"2013";"44  Timbur";58271;32168;2853
"2013";"44  Krossviður";4180;2729;514
"2013";"44  Spóna­, byggingarplötur";0;9717;1075
"2013";"48  Dagblaðapappír";0;8246;751
"2013";"48  Prent­ og skrifpappír";0;2044;369
"2013";"48  Kraftpappír, ­pappi";0;4456;470
"2013";"49  Bækur, blöð, tímarit";0;1053;1424
"2013";"33  Ilmvötn og snyrtivörur";0;1904;3449
"2013";"51  Ull";0;107;87
"2013";"57  Gólfteppi";0;478;359
"2013";"56  Fiskinet";0;359;374
"2013";"70  Rúðugler";0;2563;308
"2013";"72  Steypustyrktarjárn";0;11593;1022
"2013";"72  Þakjárn";0;18;21
"2013";"73  Miðstöðvarofnar";0;541;234
"2013";"84  Kæli­ og frystitæki til heimilis";15150;724;640
"2013";"84  Þvottavélar";14194;808;682
"2013";"85  Sjónvarpstæki";21224;332;1507
"2013";"85  Hljóðvarpstæki";19823;22;115
"2013";"87  Hjóladráttarvélar";148;707;1163
"2013";"87  Almenningsbílar";93;740;1620
"2013";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";7897;11026;18432
"2013";"87  Vöru- og sendibílar";710;1867;2486
"2013";"87  Aðrir bílar";232;184;566
"2013";"87  Fjórhjól";57;15;42
"2013";"84, 87  Bílavarahlutir";0;1553;3774
"2013";"88  Flugvélar";11;481;4803
"2013";"89  Farskip, ferjur";4;827;106
"2013";"89  Fiskiskip";6;3265;3261
"2013";"89  Önnur skip";2;12;1
"2014";"07  Kartöflur";0;4153;339
"2014";"07  Grænmeti";0;12632;2639
"2014";"08  Ávextir";0;23990;5961
"2014";"20  Ávextir niðursoðnir";0;1345;523
"2014";"09  Kaffi";0;2345;1875
"2014";"10, 11  Kornvörur til manneldis";0;24457;1823
"2014";"10, 11, 23  Fóðurvörur";0;88202;5727
"2014";"17  Strásykur, molasykur";0;8581;622
"2014";"17, 18  Sælgæti";0;2377;1951
"2014";"19  Kex, kökur, brauðvörur";0;5673;2809
"2014";"24  Vindlingar";0;262;1629
"2014";"24  Annað tóbak";0;48;206
"2014";"25  Salt (almennt)";0;88465;1122
"2014";"28  Súrál";0;1583285;57752
"2014";"27  Kol";0;100098;2430
"2014";"27  Koks";0;18036;719
"2014";"27  Flugvélabensín";0;731;174
"2014";"27  Annað bensín";0;133081;15175
"2014";"27  Þotueldsneyti";0;410289;42536
"2014";"27  Gasolía";0;287973;29802
"2014";"27  Brennsluolía";0;151332;12635
"2014";"27  Smurolía, smurfeiti";0;3926;1546
"2014";"40  Hjólbarðar nýir";0;4196;3190
"2014";"40  Hjólbarðar notaðir";0;418;207
"2014";"44  Timbur";106647;33352;2845
"2014";"44  Krossviður";3262;3097;584
"2014";"44  Spóna­, byggingarplötur";0;10863;1244
"2014";"48  Dagblaðapappír";0;9213;802
"2014";"48  Prent­ og skrifpappír";0;1961;332
"2014";"48  Kraftpappír, ­pappi";0;5925;580
"2014";"49  Bækur, blöð, tímarit";0;907;1361
"2014";"33  Ilmvötn og snyrtivörur";0;1881;3652
"2014";"51  Ull";0;147;114
"2014";"57  Gólfteppi";0;546;395
"2014";"56  Fiskinet";0;361;400
"2014";"70  Rúðugler";0;2291;261
"2014";"72  Steypustyrktarjárn";0;16588;1261
"2014";"72  Þakjárn";0;56;35
"2014";"73  Miðstöðvarofnar";0;621;216
"2014";"84  Kæli­ og frystitæki til heimilis";12822;645;561
"2014";"84  Þvottavélar";13555;736;626
"2014";"85  Sjónvarpstæki";21635;312;1295
"2014";"85  Hljóðvarpstæki";15083;26;105
"2014";"87  Hjóladráttarvélar";138;704;1125
"2014";"87  Almenningsbílar";128;845;1913
"2014";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";10508;14782;24068
"2014";"87  Vöru- og sendibílar";1186;3136;4244
"2014";"87  Aðrir bílar";445;434;1101
"2014";"87  Fjórhjól";105;41;99
"2014";"84, 87  Bílavarahlutir";0;1745;4070
"2014";"88  Flugvélar";290;452;5427
"2014";"89  Farskip, ferjur";2;159;194
"2014";"89  Fiskiskip";5;10001;8454
"2014";"89  Önnur skip";5;3700;6567
"2015";"07  Kartöflur";0;2593;192
"2015";"07  Grænmeti";0;10893;2413
"2015";"08  Ávextir";0;20442;5365
"2015";"20  Ávextir niðursoðnir";0;1118;458
"2015";"09  Kaffi";0;1949;1753
"2015";"10, 11  Kornvörur til manneldis";0;19297;1467
"2015";"10, 11, 23  Fóðurvörur";0;88168;5828
"2015";"17  Strásykur, molasykur";0;8027;551
"2015";"17, 18  Sælgæti";0;2406;1907
"2015";"19  Kex, kökur, brauðvörur";0;5480;2624
"2015";"24  Vindlingar";0;212;1419
"2015";"24  Annað tóbak";0;36;159
"2015";"25  Salt (almennt)";0;89162;1025
"2015";"28  Súrál";0;1420819;60686
"2015";"27  Kol";0;97085;2639
"2015";"27  Koks";0;22477;903
"2015";"27  Flugvélabensín";0;303;71
"2015";"27  Annað bensín";0;116145;9848
"2015";"27  Þotueldsneyti";0;394037;31923
"2015";"27  Gasolía";0;290669;20147
"2015";"27  Brennsluolía";0;154617;8395
"2015";"27  Smurolía, smurfeiti";0;3672;1353
"2015";"40  Hjólbarðar nýir";0;4625;3257
"2015";"40  Hjólbarðar notaðir";0;381;178
"2015";"44  Timbur";72448;27909;2332
"2015";"44  Krossviður";4252;3639;703
"2015";"44  Spóna­, byggingarplötur";0;9698;1149
"2015";"48  Dagblaðapappír";0;6483;549
"2015";"48  Prent­ og skrifpappír";0;1526;249
"2015";"48  Kraftpappír, ­pappi";0;4380;404
"2015";"49  Bækur, blöð, tímarit";0;729;1013
"2015";"33  Ilmvötn og snyrtivörur";0;1602;3312
"2015";"51  Ull";0;60;49
"2015";"57  Gólfteppi";0;610;411
"2015";"56  Fiskinet";0;500;623
"2015";"70  Rúðugler";0;2545;247
"2015";"72  Steypustyrktarjárn";0;14627;943
"2015";"72  Þakjárn";0;52;40
"2015";"73  Miðstöðvarofnar";0;596;207
"2015";"84  Kæli­ og frystitæki til heimilis";17685;881;744
"2015";"84  Þvottavélar";19405;1139;897
"2015";"85  Sjónvarpstæki";33198;479;2083
"2015";"85  Hljóðvarpstæki";15822;25;113
"2015";"87  Hjóladráttarvélar";133;640;1018
"2015";"87  Almenningsbílar";144;813;1889
"2015";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";13129;18611;30235
"2015";"87  Vöru- og sendibílar";1531;3893;5014
"2015";"87  Aðrir bílar";462;613;1645
"2015";"87  Fjórhjól";94;47;104
"2015";"84, 87  Bílavarahlutir";0;1945;4552
"2015";"88  Flugvélar";1589;523;16735
"2015";"89  Farskip, ferjur";1;7;33
"2015";"89  Fiskiskip";7;7511;5977
"2015";"89  Önnur skip";5;0;2
