"Vöruflokkar";"1999 Tonn";"1999 Cif verð milljónir króna";"1999 Hlutfall af heild";"2000 Tonn";"2000 Cif verð milljónir króna";"2000 Hlutfall af heild";"2001 Tonn";"2001 Cif verð milljónir króna";"2001 Hlutfall af heild";"2002 Tonn";"2002 Cif verð milljónir króna";"2002 Hlutfall af heild";"2003 Tonn";"2003 Cif verð milljónir króna";"2003 Hlutfall af heild";"2004 Tonn";"2004 Cif verð milljónir króna";"2004 Hlutfall af heild";"2005 Tonn";"2005 Cif verð milljónir króna";"2005 Hlutfall af heild";"2006 Tonn";"2006 Cif verð milljónir króna";"2006 Hlutfall af heild";"2007 Tonn";"2007 Cif verð milljónir króna";"2007 Hlutfall af heild";"2008 Tonn";"2008 Cif verð milljónir króna";"2008 Hlutfall af heild";"2009 Tonn";"2009 Cif verð milljónir króna";"2009 Hlutfall af heild";"2010 Tonn";"2010 Cif verð milljónir króna";"2010 Hlutfall af heild";"2011 Tonn";"2011 Cif verð milljónir króna";"2011 Hlutfall af heild";"2012 Tonn";"2012 Cif verð milljónir króna";"2012 Hlutfall af heild";"2013 Tonn";"2013 Cif verð milljónir króna";"2013 Hlutfall af heild";"2014 Tonn";"2014 Cif verð milljónir króna";"2014 Hlutfall af heild"
"057 Ávextir, nýir eða þurrkaðir";11908.9;1167.4;0.6;11864.2;1117.9;0.6;12781.5;1488.1;0.7;13311.2;1518.5;0.7;14106.1;1567.4;0.7;16562.1;1948.7;0.7;18318.4;2000.8;0.6;20153.8;2522.7;0.6;21746.5;2651.5;0.6;20126.8;3475.1;0.7;19651.0;4111.2;0.9;20181.4;4066.6;0.9;20792.8;4552.3;0.8;22052.4;5117.5;0.9;22784.3;5642.7;1.0;23073.2;5598.8;0.9
"058 Ávextir og vörur úr þeim";2207.4;326.6;0.2;2205.3;331.9;0.2;2340.9;435.6;0.2;2385.7;413.1;0.2;2434.3;420.5;0.2;2761.1;455.1;0.2;2835.6;430.8;0.1;2516.8;455.8;0.1;2873.9;494.6;0.1;2910.2;745.1;0.1;2697.7;979.0;0.2;2632.5;920.6;0.2;2658.1;982.7;0.2;2879.4;1168.4;0.2;2843.7;1244.8;0.2;3130.0;1296.8;0.2
"059 Ávaxta- og jurtasafar";3118.1;299.6;0.2;4212.1;329.3;0.2;4459.9;392.1;0.2;4296.4;374.6;0.2;3756.8;328.5;0.2;3207.4;300.3;0.1;3562.7;308.1;0.1;5273.2;509.8;0.1;6145.3;693.0;0.2;6007.6;945.9;0.2;4590.2;881.7;0.2;4197.8;796.3;0.2;4161.2;942.9;0.2;4836.4;1159.7;0.2;4438.0;1084.2;0.2;4235.3;998.6;0.2
"061 Sykur, melassi og hunang";13471.1;363.2;0.2;14184.9;359.4;0.2;13174.8;476.9;0.2;14056.1;454.0;0.2;13878.9;395.0;0.2;13370.2;382.7;0.1;13540.1;378.3;0.1;12602.1;501.8;0.1;13671.3;548.2;0.1;13313.6;841.1;0.2;13364.9;1260.8;0.3;13286.2;1201.0;0.3;12933.0;1516.8;0.3;13320.7;1443.9;0.2;13502.5;1384.7;0.2;11824.6;1078.4;0.2
"062 Sælgæti úr sykri";1146.1;323.0;0.2;1177.4;310.4;0.2;1188.3;376.8;0.2;1164.9;355.0;0.2;1209.0;371.9;0.2;1338.3;418.1;0.2;1407.3;419.3;0.1;1286.1;456.1;0.1;1403.5;486.1;0.1;1303.5;617.1;0.1;1362.3;842.4;0.2;1254.5;740.1;0.2;1279.0;806.2;0.1;1304.1;854.4;0.1;1260.2;851.7;0.1;1288.6;822.0;0.1
"071 Kaffi og kaffilíki";2076.8;643.5;0.4;2225.7;663.6;0.3;2031.7;668.1;0.3;2194.9;646.2;0.3;2227.3;589.4;0.3;2282.6;629.6;0.2;2503.9;732.0;0.2;2302.3;810.9;0.2;2464.9;914.5;0.2;2280.1;1265.3;0.2;2517.8;1658.3;0.4;2368.5;1727.7;0.4;2213.1;2097.5;0.4;2352.1;2252.0;0.4;2441.8;2089.2;0.4;2441.9;2061.2;0.3
"072 Kakó";494.9;121.3;0.1;563.3;106.2;0.1;536.8;129.0;0.1;561.9;152.1;0.1;653.9;216.7;0.1;729.6;217.8;0.1;649.0;180.4;0.1;748.6;224.8;0.1;831.7;246.4;0.1;778.4;393.6;0.1;957.5;694.0;0.2;890.3;644.9;0.1;941.8;620.2;0.1;987.6;564.4;0.1;1036.1;659.3;0.1;1053.5;805.7;0.1
"073 Súkkulaði og vörur úr kakói";1612.6;572.8;0.3;1657.2;549.5;0.3;1605.7;651.3;0.3;1601.1;658.0;0.3;1562.4;606.6;0.3;1665.4;678.8;0.3;1825.5;682.0;0.2;1912.1;836.1;0.2;1904.6;816.2;0.2;1804.7;1112.8;0.2;1550.7;1274.7;0.3;1566.2;1237.2;0.3;1566.7;1393.0;0.2;1779.3;1620.2;0.3;1810.4;1696.8;0.3;1835.8;1720.0;0.3
"074 Te";50.3;58.0;0.0;47.5;46.2;0.0;47.3;62.5;0.0;45.7;54.9;0.0;49.4;63.5;0.0;47.3;57.2;0.0;67.5;82.9;0.0;58.3;90.8;0.0;75.4;99.9;0.0;73.0;120.0;0.0;83.4;163.4;0.0;78.7;145.7;0.0;85.6;173.6;0.0;85.7;170.6;0.0;93.3;177.5;0.0;97.2;187.5;0.0
"075 Krydd";139.7;57.0;0.0;164.2;67.0;0.0;206.0;97.5;0.0;190.1;82.8;0.0;219.6;94.5;0.0;183.6;81.4;0.0;252.7;93.9;0.0;211.7;98.8;0.0;204.5;96.8;0.0;225.4;149.0;0.0;257.8;211.6;0.0;363.5;247.2;0.1;402.2;265.6;0.0;481.6;306.1;0.1;447.4;336.9;0.1;426.5;344.2;0.1
"081 Skepnufóður, nema ómalað korn";11438.1;406.8;0.2;14551.1;507.4;0.2;14866.2;607.7;0.3;15168.8;644.1;0.3;17498.0;709.4;0.3;18205.7;780.8;0.3;18835.9;717.8;0.2;21733.0;856.3;0.2;24592.0;1088.3;0.3;24618.8;1698.9;0.3;24043.6;2198.8;0.5;27468.4;2298.6;0.5;29265.5;2601.4;0.5;29165.1;3077.0;0.5;32814.2;3746.1;0.6;41205.9;4416.2;0.7
"091 Smjörlíki og tilbúin matarfeiti";674.5;54.2;0.0;738.9;50.6;0.0;800.9;64.2;0.0;738.7;62.3;0.0;681.1;56.6;0.0;826.0;69.8;0.0;942.2;69.9;0.0;1012.3;103.7;0.0;996.5;110.7;0.0;866.2;162.8;0.0;659.0;160.5;0.0;612.8;149.1;0.0;744.4;195.7;0.0;587.6;159.0;0.0;516.2;140.1;0.0;627.1;147.3;0.0
"098 Aðrar unnar matvörur";5244.9;2070.2;1.1;5582.8;1863.8;0.9;5648.0;2316.0;1.0;5822.1;2367.6;1.1;6181.3;2350.4;1.1;6697.5;2641.3;1.0;7941.8;2976.3;0.9;7965.0;3340.2;0.8;8798.7;3618.3;0.8;8619.7;5067.2;1.0;8055.8;6321.9;1.4;8167.4;6213.5;1.3;8088.3;6310.2;1.1;8167.7;6656.7;1.1;8451.2;7116.8;1.2;8470.6;7295.7;1.2
"111 Óáfengir drykkir, ót.a.";1413.3;171.6;0.1;909.8;106.7;0.1;915.1;122.3;0.1;928.4;114.0;0.1;1633.8;178.8;0.1;2198.5;231.3;0.1;2405.6;254.3;0.1;2855.2;373.3;0.1;3419.2;476.3;0.1;3860.4;745.8;0.1;3368.3;810.1;0.2;3577.2;826.3;0.2;3620.4;836.9;0.1;4368.5;981.7;0.2;4571.1;1046.4;0.2;4851.4;1090.5;0.2
"112 Áfengir drykkir";17784.0;1564.1;0.9;11494.0;1712.1;0.8;11521.3;2115.3;1.0;10410.7;2017.8;1.0;10223.6;2036.0;0.9;10475.1;2094.0;0.8;10722.0;2058.7;0.7;10521.4;2511.1;0.6;10819.7;2708.7;0.6;10768.8;3648.0;0.7;9582.2;4057.5;0.9;9110.5;3309.4;0.7;9435.6;3482.0;0.6;9601.2;3603.2;0.6;9776.0;3720.9;0.6;10294.7;3911.5;0.6
"121 Tóbak, óunnið og tóbaksúrgangur";0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.4;15.7;0.0;9.6;9.4;0.0;16.8;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"122 Unnar tóbaksvörur";530.5;1118.9;0.6;471.0;1087.2;0.5;446.5;1364.8;0.6;523.6;1560.4;0.8;392.9;1058.7;0.5;425.9;1129.0;0.4;384.7;997.6;0.3;382.2;1151.6;0.3;417.5;1258.0;0.3;418.5;1808.2;0.4;385.7;2206.7;0.5;361.8;1927.1;0.4;345.3;1851.4;0.3;354.9;1935.6;0.3;466.8;1793.1;0.3;310.0;1834.5;0.3
"211 Húðir og skinn, óunnið";161.9;7.1;0.0;1.7;0.6;0.0;3.6;0.6;0.0;8.1;1.3;0.0;77.9;15.3;0.0;0.4;0.1;0.0;2.4;0.7;0.0;0.1;1.3;0.0;0.1;0.5;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.1;0.1;0.0;0.0;0.0;0.0;6.2;1.6;0.0;0.0;0.0;0.0;2.8;0.7;0.0
"212 Loðskinn, óunnin";0.0;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.6;0.0;0.1;1.6;0.0;0.2;0.9;0.0;0.5;1.3;0.0;1.2;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"222 Fræ til vinnslu á linri olíu";348.0;21.0;0.0;331.3;19.5;0.0;367.4;24.4;0.0;306.2;22.1;0.0;230.1;19.7;0.0;159.0;21.2;0.0;170.6;19.1;0.0;180.8;21.7;0.0;182.2;23.7;0.0;188.0;41.3;0.0;183.1;54.8;0.0;220.8;58.5;0.0;242.6;69.5;0.0;192.7;56.4;0.0;225.5;76.9;0.0;238.5;81.8;0.0
"223 Önnur olíurík fræ og aldin";1090.5;15.5;0.0;782.2;21.1;0.0;1275.2;40.4;0.0;1970.0;54.2;0.0;2756.1;70.0;0.0;633.6;29.1;0.0;1061.4;31.6;0.0;1606.7;49.5;0.0;1228.9;45.4;0.0;1850.3;110.5;0.0;1792.6;134.9;0.0;1351.4;111.1;0.0;744.3;76.5;0.0;1014.4;113.0;0.0;1553.2;190.8;0.0;1863.1;222.2;0.0
"231 Náttúrlegt gúmmí og -kvoður";0.2;0.3;0.0;0.2;0.2;0.0;0.1;0.2;0.0;1.7;0.8;0.0;0.3;0.4;0.0;2.9;0.7;0.0;8.8;2.2;0.0;38.4;8.7;0.0;10.5;3.6;0.0;4.9;2.8;0.0;4.7;4.0;0.0;6.8;5.6;0.0;6.2;6.6;0.0;4.7;6.4;0.0;7.4;11.5;0.0;8.9;16.2;0.0
"232 Endurunnið og annað gúmmí; úrg.";320.6;17.7;0.0;300.4;25.5;0.0;148.4;16.8;0.0;295.5;30.8;0.0;316.8;30.2;0.0;835.4;78.1;0.0;627.7;53.2;0.0;1277.8;65.8;0.0;1221.6;77.0;0.0;863.9;106.9;0.0;435.6;71.0;0.0;358.8;50.8;0.0;362.9;55.8;0.0;693.7;67.3;0.0;428.6;82.6;0.0;164.3;35.7;0.0
"244 Korkur, óunninn og korkúrgangur";0.1;0.1;0.0;0.1;0.1;0.0;0.1;0.1;0.0;0.6;0.7;0.0;0.1;0.0;0.0;0.5;0.2;0.0;2.9;0.5;0.0;0.5;0.2;0.0;11.6;0.5;0.0;8.9;0.4;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.9;0.5;0.0;0.1;0.3;0.0;0.3;0.6;0.0
"245 Eldiviður og viðarkol";432.3;22.1;0.0;557.9;27.1;0.0;525.8;34.5;0.0;537.6;32.0;0.0;472.2;28.0;0.0;460.9;24.0;0.0;494.2;23.6;0.0;260.0;17.8;0.0;310.9;18.2;0.0;535.1;38.8;0.0;498.5;53.1;0.0;312.6;38.1;0.0;325.8;39.2;0.0;350.2;39.8;0.0;456.8;55.9;0.0;358.3;37.3;0.0
"246 Viðarspænir; viðarúrgangur";394.8;15.6;0.0;1034.3;28.2;0.0;1403.9;32.6;0.0;1815.4;48.9;0.0;1385.7;43.8;0.0;1011.0;30.3;0.0;2411.3;50.3;0.0;2335.8;66.7;0.0;4104.6;122.5;0.0;3146.1;136.2;0.0;3322.8;186.1;0.0;2507.2;137.8;0.0;1966.3;110.6;0.0;20890.8;506.2;0.1;24033.2;516.8;0.1;18939.7;443.9;0.1
"247 Trjábolir, óunnir eða kantaðir";1733.5;35.0;0.0;2774.0;57.9;0.0;740.8;47.6;0.0;240.3;9.0;0.0;589.5;14.3;0.0;499.7;15.1;0.0;514.9;21.1;0.0;1324.3;54.2;0.0;884.8;27.7;0.0;813.8;39.1;0.0;691.3;31.5;0.0;313.5;23.0;0.0;317.8;30.7;0.0;402.0;21.9;0.0;1156.6;127.9;0.0;428.8;20.3;0.0
"248 Trjáviður, sagaður o.þ.h.";49320.4;1519.6;0.8;52296.6;1591.8;0.8;44986.1;1698.7;0.8;44424.9;1674.2;0.8;50975.3;1996.8;0.9;58391.0;2374.1;0.9;67619.1;2605.2;0.8;60961.3;2924.1;0.7;68891.0;3927.0;0.9;44862.6;3435.5;0.7;26813.8;2250.0;0.5;34080.9;2865.3;0.6;32137.2;2790.5;0.5;30261.2;2825.7;0.5;32189.8;2893.3;0.5;34053.6;2967.7;0.5
"251 Viðardeig og úrgangspappír";2.1;0.7;0.0;18.0;2.0;0.0;10.8;1.2;0.0;9.4;1.8;0.0;9.8;1.2;0.0;19.2;1.3;0.0;34.6;2.3;0.0;55.2;5.0;0.0;41.6;7.2;0.0;50.1;5.9;0.0;10.4;3.7;0.0;12.2;3.7;0.0;36.4;8.4;0.0;12.6;3.9;0.0;18.5;7.1;0.0;15.1;4.7;0.0
"261 Silki";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.3;0.0;0.0;0.4;0.0;0.1;0.9;0.0;0.1;1.2;0.0;0.0;0.1;0.0;0.1;0.4;0.0;0.0;0.2;0.0;0.1;0.4;0.0;0.0;0.0;0.0
"263 Baðmull";27.8;3.1;0.0;38.4;3.5;0.0;33.4;3.9;0.0;41.3;5.1;0.0;22.2;2.6;0.0;31.7;3.7;0.0;24.6;2.9;0.0;34.6;5.0;0.0;28.5;3.8;0.0;8.0;1.8;0.0;9.0;3.4;0.0;10.4;3.6;0.0;10.1;3.2;0.0;13.7;5.2;0.0;14.0;5.9;0.0;11.2;3.1;0.0
"264 Júta og aðrar basttrefjar";2.4;0.5;0.0;0.6;0.2;0.0;0.3;0.1;0.0;0.6;0.1;0.0;0.6;0.4;0.0;0.9;0.4;0.0;1.0;0.4;0.0;9.0;1.7;0.0;75.3;8.1;0.0;99.2;13.8;0.0;68.2;15.5;0.0;132.0;37.5;0.0;146.6;43.4;0.0;42.9;12.7;0.0;72.3;18.4;0.0;83.1;19.1;0.0
"265 Jurtatrefjar ót.a.";5.2;2.4;0.0;12.7;3.0;0.0;8.4;3.1;0.0;6.0;2.9;0.0;5.6;3.0;0.0;6.1;3.0;0.0;4.9;2.7;0.0;171.2;7.5;0.0;191.8;9.3;0.0;28.0;4.6;0.0;2.0;2.7;0.0;7.2;4.9;0.0;19.2;5.6;0.0;34.8;9.1;0.0;16.2;5.7;0.0;29.7;6.3;0.0
"266 Tilbúnar spunatrefjar";66.5;13.1;0.0;94.5;15.6;0.0;32.1;8.2;0.0;8.3;3.9;0.0;19.8;8.1;0.0;10.6;3.9;0.0;11.5;6.3;0.0;7.5;4.0;0.0;9.8;5.4;0.0;7.9;3.3;0.0;2.8;6.0;0.0;5.2;3.3;0.0;5.7;3.0;0.0;26.8;14.4;0.0;25.2;19.3;0.0;43.1;30.1;0.0
"267 Aðrar gervispunatrefjar";0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.4;0.0;0.0;0.2;0.0;0.1;0.2;0.0;0.0;0.1;0.0;0.6;0.3;0.0;1.1;0.6;0.0
"268 Ull, dýrahár, ullarlopi";110.8;24.7;0.0;82.8;19.3;0.0;105.2;26.4;0.0;81.9;23.9;0.0;72.5;21.3;0.0;70.7;20.1;0.0;73.8;19.0;0.0;115.5;33.4;0.0;48.5;13.7;0.0;53.6;24.0;0.0;88.2;43.6;0.0;136.1;72.1;0.0;75.6;54.4;0.0;99.8;89.1;0.0;107.0;86.8;0.0;146.6;113.9;0.0
"269 Notaður fatnaður, tuskur";5.8;4.2;0.0;4.8;3.3;0.0;7.2;4.0;0.0;6.7;4.7;0.0;7.4;4.9;0.0;13.8;8.3;0.0;34.3;24.1;0.0;199.2;33.0;0.0;39.2;19.3;0.0;9.0;10.2;0.0;19.5;26.1;0.0;26.0;32.9;0.0;25.8;33.2;0.0;29.3;36.7;0.0;37.3;44.2;0.0;29.0;33.4;0.0
"272 Áburður, óunninn, annar en í 562";0.5;0.1;0.0;1.7;0.3;0.0;11.1;1.4;0.0;19.8;2.9;0.0;22.3;0.8;0.0;0.3;0.0;0.0;0.9;0.6;0.0;0.7;0.2;0.0;39.1;3.3;0.0;6.0;2.4;0.0;23.3;7.7;0.0;10.2;2.5;0.0;5.2;2.5;0.0;3.3;1.5;0.0;1.6;2.4;0.0;1.8;1.1;0.0
"273 Steinn, sandur og möl";66209.6;214.9;0.1;96106.8;258.6;0.1;66225.1;292.5;0.1;40977.8;265.3;0.1;45519.6;269.1;0.1;92558.5;394.9;0.2;192616.3;656.5;0.2;301141.3;917.1;0.2;187739.4;767.2;0.2;141409.6;837.1;0.2;61352.8;468.4;0.1;48126.5;446.1;0.1;31985.6;440.4;0.1;39080.5;428.0;0.1;22440.4;412.3;0.1;37175.6;444.2;0.1
"274 Brennisteinn";7.1;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.3;0.1;0.0;0.0;0.0;0.0;1.0;0.1;0.0;1.0;0.1;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;1.1;0.2;0.0;0.0;0.0;0.0;0.7;0.4;0.0;26.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"277 Náttúrl. slípiefni; iðnaðardemantar";26.3;5.4;0.0;9.9;6.7;0.0;6.6;4.2;0.0;5.9;2.4;0.0;32.0;3.4;0.0;4.3;2.7;0.0;8.9;3.8;0.0;3.2;3.8;0.0;1.4;12.5;0.0;75.2;11.1;0.0;3.0;6.3;0.0;15.7;10.9;0.0;27.0;24.4;0.0;54.9;14.2;0.0;30.6;16.5;0.0;96.6;10.7;0.0
"278 Önnur óunnin jarðefni";205220.8;608.3;0.3;317193.5;805.0;0.4;293753.6;891.3;0.4;292658.4;897.5;0.4;297515.6;938.3;0.4;291597.1;935.4;0.4;308362.3;1042.8;0.3;286595.2;1177.0;0.3;308470.9;1388.0;0.3;301845.9;2108.8;0.4;287821.3;2510.8;0.6;250321.0;2159.0;0.5;298477.8;2900.6;0.5;336691.2;3618.3;0.6;325333.8;3346.1;0.6;314589.0;3258.8;0.5
"281 Járngrýti og járnkirni";22774.3;69.9;0.0;33104.2;108.2;0.1;41498.9;177.0;0.1;35961.9;128.3;0.1;32282.6;116.1;0.1;40858.3;202.2;0.1;38058.3;263.3;0.1;38508.9;225.3;0.1;43452.4;336.9;0.1;44166.9;685.6;0.1;34403.5;596.2;0.1;36318.2;894.7;0.2;42846.0;1151.4;0.2;19250.6;566.0;0.1;22916.0;632.0;0.1;11088.2;376.8;0.1
"282 Brotajárn og brotastál";0.9;0.1;0.0;3.2;2.4;0.0;81.5;2.3;0.0;183.8;4.6;0.0;0.4;0.1;0.0;0.0;0.0;0.0;193.3;7.4;0.0;0.5;0.8;0.0;0.3;0.8;0.0;1163.9;64.5;0.0;642.7;48.0;0.0;11544.6;583.8;0.1;4680.3;386.7;0.1;0.0;0.0;0.0;173.0;15.2;0.0;4516.5;208.5;0.0
"283 Kopargrýti og koparkirni";43.5;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.1;0.0;0.0;0.1;0.0;0.1;0.7;0.0;12.0;0.7;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.1;0.0;7.0;0.2;0.0;1.4;1.2;0.0;0.0;0.1;0.0
"284 Nikkilgrýti og nikkilkirni";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"285 Álgrýti og álkirni, þ.m.t. súrál";463708.1;6268.6;3.4;406010.5;7049.1;3.5;465372.0;9467.5;4.3;524230.0;9089.0;4.4;488353.9;7186.4;3.3;524311.1;8653.1;3.3;434800.9;6935.7;2.2;663690.7;15882.0;3.7;814266.9;20557.5;4.8;1620625.5;58382.8;11.3;1557308.9;52621.5;11.8;1612187.7;62852.2;13.2;1539089.9;66767.1;11.9;1590441.5;63604.1;10.6;1646174.8;61336.6;10.5;1583285.0;57751.6;9.2
"286 Úran-/thoríumgrýti og -kirni";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.9;0.8;0.0;0.0;0.0;0.0;167.2;115.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"287 Grýti og kirni ódýrra málma";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;5.1;1.8;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.5;0.0
"288 Málmúrgangur annar en járns";25.1;2.1;0.0;57.9;5.8;0.0;45.0;7.2;0.0;20.0;1.7;0.0;22.5;2.6;0.0;23.0;5.3;0.0;12.0;2.0;0.0;22.8;11.8;0.0;6.1;3.6;0.0;0.0;0.0;0.0;9.7;8.3;0.0;5.1;5.5;0.0;20.3;29.1;0.0;7.2;10.6;0.0;23.8;18.9;0.0;12.5;6.8;0.0
"289 Grýti, kirni og úrgangur góðmálma";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;265.7;9.4;0.0;96.9;4.4;0.0;0.0;0.1;0.0;0.1;1.0;0.0;0.1;0.7;0.0;0.1;0.8;0.0;0.1;0.4;0.0;0.3;1.7;0.0
"291 Óunnar efnivörur úr dýraríkinu";19878.9;167.0;0.1;111994.8;601.3;0.3;121998.5;953.1;0.4;113497.3;966.6;0.5;180204.0;1425.9;0.7;155057.8;1197.9;0.5;136243.5;995.0;0.3;89371.9;1319.0;0.3;69308.0;1353.7;0.3;87514.4;1703.2;0.3;19170.4;508.7;0.1;45286.0;2031.8;0.4;52755.2;1987.7;0.4;42644.5;1381.1;0.2;52053.3;2014.4;0.3;47210.5;1538.2;0.2
"292 Óunnar efnivörur úr jurtaríkinu";1033.9;283.4;0.2;1153.1;294.4;0.1;986.2;315.8;0.1;1147.8;332.6;0.2;1171.0;319.1;0.1;1096.9;364.6;0.1;1475.7;392.3;0.1;1271.6;395.2;0.1;1502.9;487.2;0.1;1363.5;643.2;0.1;1143.6;731.1;0.2;1117.0;654.2;0.1;1131.4;759.3;0.1;1153.6;799.7;0.1;1159.7;850.8;0.1;1359.2;778.2;0.1
"321 Steinkol";60654.7;315.8;0.2;100852.8;620.2;0.3;97682.2;804.0;0.4;98314.4;798.5;0.4;85029.6;602.1;0.3;104546.3;835.6;0.3;116957.3;1196.8;0.4;91551.3;1003.8;0.2;139568.0;1384.9;0.3;98184.9;1731.3;0.3;113996.7;2929.2;0.7;104740.4;2642.7;0.6;110523.0;2843.6;0.5;103992.7;3090.4;0.5;125110.8;3343.8;0.6;100097.6;2430.0;0.4
"322 Töflur úr steink. Brúnkol og mór";482.9;12.4;0.0;464.1;10.7;0.0;674.1;14.9;0.0;630.1;13.9;0.0;701.3;16.3;0.0;588.3;16.3;0.0;919.3;23.3;0.0;726.4;21.0;0.0;802.2;24.9;0.0;992.8;40.4;0.0;601.6;34.0;0.0;606.7;32.6;0.0;738.7;39.4;0.0;927.8;55.7;0.0;1097.6;49.3;0.0;1008.1;48.3;0.0
"325 Koks og hálfkoks";27111.1;199.9;0.1;46892.4;422.5;0.2;41882.2;471.5;0.2;47766.8;497.3;0.2;52826.8;482.9;0.2;52204.6;790.8;0.3;33362.3;467.1;0.1;26027.1;379.1;0.1;33090.9;558.0;0.1;27208.1;992.7;0.2;20897.5;1297.8;0.3;25006.4;1260.1;0.3;23086.3;1108.8;0.2;43048.9;1644.7;0.3;27014.5;1218.6;0.2;18035.9;719.4;0.1
"333 Jarðolía, óhreinsuð";0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.3;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;1.6;0.0;0.4;0.6;0.0;0.8;1.4;0.0;0.5;0.6;0.0;0.1;0.3;0.0;0.2;0.6;0.0;7.8;6.4;0.0
"334 Jarðolíuafurðir, hreinsaðar";786045.1;9095.7;5.0;800955.2;17312.9;8.5;711047.0;17626.6;8.0;739377.0;15816.8;7.6;698640.3;15130.2;7.0;806096.9;21517.3;8.3;794109.8;26881.8;8.6;798223.9;34814.3;8.1;829650.5;34922.6;8.1;755507.5;57813.1;11.2;734444.4;49644.6;11.1;655404.6;56284.5;11.8;680948.4;75116.9;13.4;676188.9;83026.6;13.9;687238.6;80235.7;13.8;997334.1;102907.8;16.4
"335 Aðrar jarðolíuafurðir; bik o.fl.";25774.6;311.1;0.2;30691.1;468.8;0.2;33951.0;646.0;0.3;30533.9;564.2;0.3;26793.8;474.3;0.2;34494.5;582.9;0.2;41515.3;719.0;0.2;43119.2;1080.6;0.3;33342.0;989.2;0.2;33484.1;1904.2;0.4;20967.0;1221.5;0.3;21293.1;1723.4;0.4;16925.3;1628.8;0.3;14136.4;1404.1;0.2;28150.1;2270.7;0.4;21179.1;1152.1;0.2
"342 Fljótandi própan og bútan";1695.4;45.3;0.0;1675.7;60.8;0.0;2472.7;105.5;0.0;2016.0;70.8;0.0;2386.7;87.5;0.0;2015.8;74.9;0.0;2460.4;97.0;0.0;1325.9;77.7;0.0;3419.1;182.4;0.0;3943.3;380.3;0.1;3037.2;305.7;0.1;2619.7;426.9;0.1;2509.9;384.4;0.1;2590.5;384.0;0.1;3065.2;392.3;0.1;2448.3;299.6;0.0
