"Vöruflokkar";"1999 Tonn";"1999 Cif verð milljónir króna";"1999 Hlutfall af heild";"2000 Tonn";"2000 Cif verð milljónir króna";"2000 Hlutfall af heild";"2001 Tonn";"2001 Cif verð milljónir króna";"2001 Hlutfall af heild";"2002 Tonn";"2002 Cif verð milljónir króna";"2002 Hlutfall af heild";"2003 Tonn";"2003 Cif verð milljónir króna";"2003 Hlutfall af heild";"2004 Tonn";"2004 Cif verð milljónir króna";"2004 Hlutfall af heild";"2005 Tonn";"2005 Cif verð milljónir króna";"2005 Hlutfall af heild";"2006 Tonn";"2006 Cif verð milljónir króna";"2006 Hlutfall af heild";"2007 Tonn";"2007 Cif verð milljónir króna";"2007 Hlutfall af heild";"2008 Tonn";"2008 Cif verð milljónir króna";"2008 Hlutfall af heild";"2009 Tonn";"2009 Cif verð milljónir króna";"2009 Hlutfall af heild";"2010 Tonn";"2010 Cif verð milljónir króna";"2010 Hlutfall af heild";"2011 Tonn";"2011 Cif verð milljónir króna";"2011 Hlutfall af heild";"2012 Tonn";"2012 Cif verð milljónir króna";"2012 Hlutfall af heild";"2013 Tonn";"2013 Cif verð milljónir króna";"2013 Hlutfall af heild";"2014 Tonn";"2014 Cif verð milljónir króna";"2014 Hlutfall af heild"
"883 Framkallaðar kvikmyndafilmur";11.0;30.5;0.0;11.4;35.6;0.0;13.4;47.5;0.0;12.7;51.6;0.0;12.2;44.4;0.0;12.2;44.5;0.0;13.0;43.4;0.0;14.3;51.6;0.0;15.1;55.0;0.0;14.6;68.7;0.0;11.2;80.0;0.0;9.5;63.3;0.0;5.4;30.5;0.0;1.0;5.6;0.0;0.3;1.2;0.0;0.3;0.7;0.0
"884 Sjóntækjavörur ót.a.";45.9;361.9;0.2;35.5;398.4;0.2;36.7;444.3;0.2;43.2;443.9;0.2;19.1;453.7;0.2;52.7;499.5;0.2;76.9;607.3;0.2;89.1;796.4;0.2;122.7;851.6;0.2;69.0;893.5;0.2;73.0;940.8;0.2;83.4;1032.7;0.2;88.9;1064.8;0.2;80.2;1087.9;0.2;77.6;1162.4;0.2;83.1;1126.7;0.2
"885 Úr og klukkur";52.5;226.4;0.1;53.8;240.8;0.1;31.8;226.9;0.1;40.4;198.2;0.1;40.0;169.7;0.1;59.1;256.1;0.1;67.5;272.9;0.1;60.0;383.7;0.1;65.6;388.6;0.1;55.8;473.2;0.1;33.8;382.1;0.1;43.7;498.4;0.1;41.4;387.2;0.1;34.7;362.0;0.1;41.4;358.3;0.1;39.5;459.7;0.1
"891 Vopn og skotfæri";144.0;83.9;0.0;141.5;90.9;0.0;52.1;89.5;0.0;73.6;65.9;0.0;83.5;70.6;0.0;88.2;88.7;0.0;135.7;137.0;0.0;123.0;188.1;0.0;90.1;152.9;0.0;96.9;200.1;0.0;87.4;213.8;0.0;138.6;288.6;0.1;104.6;251.1;0.0;81.9;185.2;0.0;80.5;228.3;0.0;101.7;260.1;0.0
"892 Prentað mál";1499.9;1204.6;0.7;1351.1;1230.9;0.6;1431.6;1500.5;0.7;1277.7;1395.1;0.7;1357.8;1351.7;0.6;1463.4;1419.6;0.5;1716.8;1463.1;0.5;2357.6;1892.4;0.4;2460.7;1884.1;0.4;2246.4;2314.3;0.4;1450.8;2374.3;0.5;1473.1;2180.8;0.5;1493.5;2388.1;0.4;1619.7;2362.5;0.4;1562.4;2591.7;0.4;1401.5;2174.8;0.3
"893 Vörur úr plastefni ót.a.";6844.5;2580.6;1.4;7187.6;2649.7;1.3;7168.8;3262.4;1.5;7625.9;3097.8;1.5;7638.2;3027.7;1.4;8462.5;3349.3;1.3;10251.3;3807.0;1.2;10761.7;4561.8;1.1;11752.6;5046.3;1.2;11405.6;6290.2;1.2;7991.3;6275.7;1.4;9835.6;6611.4;1.4;10606.5;7453.7;1.3;10569.1;7845.7;1.3;11322.5;8114.0;1.4;11586.9;8287.9;1.3
"894 Barnavagnar, leikföng, íþróttavörur";1652.7;1405.1;0.8;1788.5;1611.5;0.8;1818.1;1953.7;0.9;1856.5;1790.0;0.9;2211.0;1938.1;0.9;2405.7;1993.4;0.8;3228.0;2360.6;0.8;3197.3;3053.1;0.7;3299.9;3212.1;0.7;2637.1;3458.2;0.7;1675.9;3140.2;0.7;2308.8;3598.3;0.8;2135.7;3885.3;0.7;2016.2;3644.9;0.6;1860.9;3658.1;0.6;2004.8;3894.5;0.6
"895 Skrifstofubúnaður og ritföng ót.a.";243.6;248.2;0.1;243.1;259.4;0.1;230.4;277.2;0.1;203.8;240.9;0.1;199.1;227.1;0.1;240.3;263.2;0.1;230.6;253.3;0.1;242.3;281.3;0.1;271.2;286.5;0.1;182.9;290.9;0.1;164.1;312.6;0.1;171.2;298.8;0.1;149.5;292.9;0.1;147.7;318.1;0.1;162.4;361.8;0.1;168.9;369.3;0.1
"896 Listmunir, safnara- og forngripir";6.7;17.8;0.0;17.1;39.3;0.0;8.1;19.7;0.0;3.0;14.0;0.0;5.7;59.2;0.0;62.9;74.4;0.0;89.8;171.2;0.1;13.1;61.7;0.0;24.4;150.3;0.0;76.6;207.0;0.0;26.4;203.2;0.0;12.3;43.0;0.0;7.9;49.3;0.0;33.3;186.2;0.0;7.3;52.3;0.0;7.2;34.9;0.0
"897 Skartgripir og skrautvörur";27.4;274.9;0.2;35.0;304.5;0.1;28.9;325.1;0.1;24.9;291.4;0.1;11.6;262.9;0.1;37.3;341.9;0.1;55.7;417.5;0.1;63.7;511.9;0.1;61.4;583.9;0.1;59.1;588.6;0.1;54.9;555.8;0.1;51.5;544.9;0.1;50.6;601.7;0.1;48.4;596.9;0.1;46.9;501.5;0.1;41.5;523.4;0.1
"898 Hljóðfæri; hljómplötur/-bönd o.þ.h.";566.0;1929.7;1.1;573.9;2448.1;1.2;457.2;1886.0;0.9;521.9;1660.8;0.8;602.8;2041.7;0.9;626.4;1966.3;0.8;783.1;2239.7;0.7;704.3;2561.1;0.6;680.8;2651.8;0.6;504.2;2548.8;0.5;360.5;2164.9;0.5;345.8;2187.3;0.5;340.6;2407.8;0.4;256.8;2197.0;0.4;245.7;2311.7;0.4;214.8;2074.1;0.3
"899 Ýmsar iðnaðarvörur, ót.a.";1292.2;908.4;0.5;1381.9;881.7;0.4;1341.2;1068.0;0.5;1318.7;1083.4;0.5;1367.8;1119.9;0.5;1560.2;1252.2;0.5;1810.6;1347.9;0.4;1631.9;1650.1;0.4;1744.0;1936.3;0.5;1527.1;2455.9;0.5;1230.0;2935.0;0.7;1260.6;2712.1;0.6;1362.0;2712.3;0.5;1291.0;3164.8;0.5;1304.3;3177.8;0.5;1401.9;3131.2;0.5
"9 Aðrar vörur, ót.a.";671.8;226.7;0.1;304.2;194.0;0.1;507.2;457.5;0.2;445.9;409.5;0.2;605.8;272.6;0.1;403.8;209.7;0.1;293.5;274.2;0.1;803.9;410.9;0.1;287.1;346.8;0.1;297.6;334.2;0.1;272.0;516.6;0.1;403.8;454.6;0.1;272.5;724.4;0.1;1593.0;1436.2;0.2;2653.8;778.2;0.1;2373.8;745.1;0.1
